time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
2.64,0.7667708561370162,0.23999999999999977,1927.4224518163749,33.64769317301184,41.55395903839493,33.25319354053143,0.0,-8.668507206848421e-08
2.641,0.7574471476677843,0.24099999999999966,1904.5327475244105,33.2480995364748,41.548765362205174,33.25319354059403,0.0,-8.668507206848421e-08
2.642,0.7479627082889659,0.24199999999999955,1881.2484488494115,32.841617326693274,41.54338088119629,33.25319354065663,0.0,-8.668507206848421e-08
2.6430000000000002,0.7383191615389815,0.24299999999999988,1857.5735415781994,32.4283161249528,41.53783390372067,33.25319354071923,0.0,-8.668507206848421e-08
2.644,0.728518182216137,0.24399999999999977,1833.5121373406162,32.00826770942486,41.5321517507664,33.25319354078184,0.0,-8.668507206848421e-08
2.645,0.7185614959241777,0.24499999999999966,1809.0684724938562,31.581546035690284,41.52636055697947,33.25319354084444,0.0,-8.668507206848421e-08
2.646,0.7084508785976066,0.24599999999999955,1784.246906957124,31.14822721639547,41.52048511216365,33.25319354090704,0.0,-8.668507206848421e-08
2.6470000000000002,0.6981881560068641,0.2469999999999999,1759.0519229968513,30.708389500045513,41.51454866704284,33.25319354096965,0.0,-8.668507206848421e-08
2.648,0.6877752032436231,0.24799999999999978,1733.4881239630945,30.262113248945,41.508572794703966,33.253193541032246,0.0,-8.668507206848421e-08
2.649,0.6772139441863034,0.24899999999999967,1707.5602329773749,29.809480916291236,41.502577295640165,33.25319354109486,0.0,-8.668507206848421e-08
2.65,0.6665063509461147,0.24999999999999956,1681.2730915727113,29.350577022432734,41.4965800542838,33.25319354115746,0.0,-8.668507206848421e-08
2.6510000000000002,0.6556544432937546,0.2509999999999999,1654.6316582861675,28.885488130298913,41.4905969863678,33.253193541220064,0.0,-8.668507206848421e-08
2.652,0.6446602880670502,0.2519999999999998,1627.6410072046083,28.414302820012775,41.484641947300815,33.25319354128267,0.0,-8.668507206848421e-08
2.653,0.633525998559677,0.25299999999999967,1600.3063264640068,27.937111662692814,41.47872672144201,33.253193541345276,0.0,-8.668507206848421e-08
2.654,0.6222537338913062,0.25399999999999956,1572.6329167031568,27.45400719345892,41.47286096504597,33.25319354140788,0.0,-8.668507206848421e-08
2.6550000000000002,0.61084569835933,0.2549999999999999,1544.6261894721551,26.965083883648713,41.46705222880128,33.25319354147049,0.0,-8.668507206848421e-08
